项目指令,用户名称,,country,province,city,district,formatted_address,level,location
T6C39,江西铅山热电,,中国,江西省,上饶市,铅山县,江西省上饶市铅山县,区县,"117.709451,28.315217"
WT5875,孟加拉国,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT5807,澳大利亚VISY,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5911/12,嘉兴协鑫环保热电,,中国,浙江省,嘉兴市,秀洲区,浙江省嘉兴市秀洲区协鑫环保热电,兴趣点,"120.661000,30.739143"
T6C92,山东宏达集团广西新天德能源,,中国,山东省,济南市,长清区,山东省济南市长清区宏达集团,兴趣点,"116.741466,36.558290"
T6C89,宁波华泰,,中国,浙江省,宁波市,鄞州区,浙江省宁波市鄞州区华泰银坐,兴趣点,"121.586622,29.859113"
T8381,新疆金象,,中国,新疆维吾尔自治区,暂无数据,暂无数据,新疆维吾尔自治区,省,"87.627704,43.793026"
C221,葫芦岛431厂,,中国,辽宁省,葫芦岛市,暂无数据,辽宁省葫芦岛市,市,"120.836932,40.711052"
T6B48,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5489,国电神华富平,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT5993,泰国PTG项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5621,张家口发电,,中国,河北省,张家口市,暂无数据,河北省张家口市,市,"114.887543,40.824418"
C222-1/-2,葫芦岛431厂,,中国,辽宁省,葫芦岛市,暂无数据,辽宁省葫芦岛市,市,"120.836932,40.711052"
T6B63/64,宁夏宝丰,,中国,宁夏回族自治区,暂无数据,暂无数据,宁夏回族自治区,省,"106.258754,38.471317"
T6C89/T6D10,上海大隆,,中国,上海市,上海市,暂无数据,上海市,省,"121.473701,31.230416"
T5340,神华宁煤,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6D11,浙江华川实业,,中国,浙江省,暂无数据,暂无数据,浙江省,省,"120.152791,30.267446"
T8749,贵州黔希煤化,,中国,贵州省,暂无数据,暂无数据,贵州省,省,"106.707410,26.598194"
WT5785/8687/88,印度市场,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5822,黑龙江嘉荫华银热电,,中国,黑龙江省,伊春市,嘉荫县,黑龙江省伊春市嘉荫县,区县,"130.403564,48.889109"
T6C34,神木富县能源科技,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6C04,宁波众茂杭州湾热电,,中国,浙江省,宁波市,慈溪市,浙江省宁波市慈溪市宁波众茂杭州湾热电厂,兴趣点,"121.304683,30.308765"
T5777,茂名石化,,中国,广东省,茂名市,茂南区,广东省茂名市茂南区石化,兴趣点,"110.919450,21.675500"
WT5267,巴基斯坦项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G0008,湖南涟源钢厂,,中国,湖南省,娄底市,涟源市,湖南省娄底市涟源市,区县,"111.664316,27.692542"
T5549/50,宁夏枣泉电厂,,中国,宁夏回族自治区,银川市,灵武市,宁夏回族自治区银川市灵武市枣泉电厂,兴趣点,"106.580108,38.162549"
T6A05,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T6D17,苏州东吴热电,,中国,江苏省,苏州市,姑苏区,江苏省苏州市姑苏区东吴,兴趣点,"120.586259,31.321142"
T6A36/37,常熟第二发电厂,,中国,江苏省,苏州市,常熟市,江苏省苏州市常熟市常熟,兴趣点,"120.757951,31.649566"
T6B52/53,江苏宜春（京能）热电,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T6D18,兰州石化,,中国,甘肃省,兰州市,西固区,甘肃省兰州市西固区石化,兴趣点,"103.621123,36.093968"
T6C45,泰山石膏,,中国,山东省,泰安市,泰山区,山东省泰安市泰山区泰山,兴趣点,"117.157242,36.164988"
T6C60,山东昌乐盛世热电,,中国,山东省,潍坊市,昌乐县,山东省潍坊市昌乐县盛世热电,兴趣点,"118.851808,36.740156"
T6B70/71,内蒙速元,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
C211-2,三亚基地,,中国,海南省,三亚市,天涯区,海南省三亚市天涯区三亚基地,兴趣点,"109.496536,18.230170"
T5033/34,华能罗源电厂,,中国,福建省,福州市,罗源县,福建省福州市罗源县华能罗源电厂,兴趣点,"119.771351,26.406268"
WT5999,台塑越南项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8671,扬子石化,,中国,安徽省,滁州市,琅琊区,安徽省滁州市琅琊区扬子街道,乡镇,"118.345131,32.317509"
T6B16,江西五星纸业,,中国,江西省,南昌市,青云谱区,江西省南昌市青云谱区五星,村庄,"115.915873,28.638944"
T6D41,陕鼓,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT6F00,泰国项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT6B51,台湾项目,,中国,台湾省,暂无数据,暂无数据,台湾省,省,"121.508903,25.044319"
T6D88,江苏兴澄特钢,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T6B95,浙江华泰,,中国,浙江省,杭州市,下城区,浙江省杭州市下城区华泰,兴趣点,"120.170000,30.270352"
T6D42,宁波明州热电,,中国,浙江省,宁波市,暂无数据,浙江省宁波市,市,"121.550357,29.874556"
T5653,山西潞安发电,,中国,山西省,暂无数据,暂无数据,山西省,省,"112.562398,37.873531"
C220,葫芦岛431厂,,中国,辽宁省,葫芦岛市,暂无数据,辽宁省葫芦岛市,市,"120.836932,40.711052"
T5657,江西分宜发电,,中国,江西省,新余市,分宜县,江西省新余市分宜县,区县,"114.692050,27.814758"
T8788/89,陕西未来能源,,中国,陕西省,暂无数据,暂无数据,陕西省,省,"108.954239,34.265472"
T5380,湖州加怡新市热电,,中国,浙江省,湖州市,德清县,浙江省湖州市德清县新市,兴趣点,"120.287629,30.614613"
C231,无锡,,中国,江苏省,无锡市,暂无数据,江苏省无锡市,市,"120.311910,31.491169"
G0007,涟源钢厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT6A68,印度项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B06/07,烟台万华,,中国,山东省,烟台市,暂无数据,山东省烟台市,市,"121.447935,37.463822"
G0010,重庆钢铁,,中国,重庆市,重庆市,大渡口区,重庆市大渡口区钢铁,兴趣点,"106.505127,29.491813"
C221-2/222-2,葫芦岛431厂,,中国,辽宁省,葫芦岛市,暂无数据,辽宁省葫芦岛市,市,"120.836932,40.711052"
T5981,甘肃常乐电厂,,中国,甘肃省,暂无数据,暂无数据,甘肃省,省,"103.826308,36.059421"
T5160,中海油泰州石化,,中国,江苏省,泰州市,高港区,江苏省泰州市高港区中海油泰州石化,兴趣点,"119.871491,32.300341"
T6C00,海宁恒逸,,中国,浙江省,嘉兴市,海宁市,浙江省嘉兴市海宁市海宁,兴趣点,"120.680757,30.510659"
T6B35/36,新疆天业汇合新材料,,中国,新疆维吾尔自治区,暂无数据,暂无数据,新疆维吾尔自治区,省,"87.627704,43.793026"
T6A65,平湖独山热电,,中国,浙江省,嘉兴市,平湖市,浙江省嘉兴市平湖市独山,乡镇,"121.166830,30.641795"
G0012/0013/0016,迁安钢铁、青岛钢铁,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6C16,湖北宜都兴发,,中国,湖北省,宜昌市,宜都市,湖北省宜昌市宜都市,区县,"111.450006,30.378327"
