项目指令,用户名称,,country,province,city,district,formatted_address,level,location
T8375/76,东南电化,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8002,四川石化,,中国,四川省,成都市,武侯区,四川省成都市武侯区石化,兴趣点,"104.065331,30.548950"
T6A15/62,海南炼化,,中国,海南省,暂无数据,暂无数据,海南省,省,"110.349228,20.017377"
T5881,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5892,荆门石化,,中国,湖北省,荆门市,钟祥市,湖北省荆门市钟祥市石化,兴趣点,"112.598700,31.150500"
T5439,福建翔鹭,,中国,福建省,暂无数据,暂无数据,福建省,省,"119.295144,26.100779"
T5220/19,中安联合,,中国,吉林省,长春市,榆树市,吉林省长春市榆树市中安村,村庄,"126.240669,44.884903"
T5983,海宁泰亿能源,,中国,浙江省,嘉兴市,海宁市,浙江省嘉兴市海宁市海宁,兴趣点,"120.680757,30.510659"
T5387/88,国电蚌埠电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B74,嘉里豪星热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
6A03,中圣科营热电,,中国,甘肃省,武威市,民勤县,甘肃省武威市民勤县中胜村,村庄,"102.491173,38.604256"
T5925,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T6A09,河南金大地,,中国,河南省,郑州市,二七区,河南省郑州市二七区金大地,兴趣点,"113.665893,34.740699"
T5033,江西华能安源电厂,,中国,江西省,暂无数据,暂无数据,江西省,省,"115.909228,28.675696"
WT5880,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T6B04-1/-2,内蒙荣信,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5835,大连恒力,,中国,辽宁省,大连市,暂无数据,辽宁省大连市,市,"121.614682,38.914003"
T6B19/20/21,渭河彬州,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6A73/T6B62,镇海炼化,,中国,浙江省,宁波市,镇海区,浙江省宁波市镇海区镇海,兴趣点,"121.592198,29.957395"
T5901,杭州富丽达热电,,中国,浙江省,杭州市,江干区,浙江省杭州市江干区富丽达,兴趣点,"120.330932,30.295132"
T6A71,安庆石化,,中国,安徽省,安庆市,大观区,安徽省安庆市大观区石化,兴趣点,"117.040746,30.529785"
